ITEM ;NOME;AMBIENTE;LOCAL ;TAG ;ENDEREÇO ;CNPJ;MODELO;NUMERO DE SERIE
54;SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO / DESCOMPRESSÃO;APS-RF-005;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT INVERTER SPRINGER MIDEA HI WALL 18.000 BTUS FRIO 42MBC18M5;4218B14341185
55;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;GUARITA;CPT-GU-001;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL INVERTER WI-FI SPRINGER MIDEA 12000 BTUS FRIO 42QCAA12M5;11708497
56;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-002;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATNW24GPLP1.ANWZBRZ;306AZAL0J704
57;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-003;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATNW24GPLP1.ANWZBRZ;306AZAL0J701
58;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-004;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48000 BTUS QUENTE/FRIO ATNW48GMLP1.ANWZBRZ;301AZZX9V125
59;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;AUDITÓRIO;CPT-AU-005;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 48000 BTUS FRIO 42XQD048515LC/38CQE048535MC; - 
60;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;AUDITÓRIO;CPT-AU-006;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 58000 BTUS FRIO 42XQD060515LC/38CQD060535MC; - 
61;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;GERENCIA ATENDIMENTO PJ;CPT-ST-007;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;107AZSP1N470
62;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;SALA DE COSTURA;CPT-SC-008;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 58000 BTUS FRIO 42XQD060515LC/38CQD060535MC; -
63;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;COPA/COZINHA;CPT-CO-009;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 48000 BTUS FRIO 42XQD048515LC/38CQE048535MC; -
64;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;RECEPÇÃO/SALA CONSELHO;CPS-RE-001;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO 220V MONOFÁSICO AVNW36GM1P0.ANWZBRZ;009AZPUEA224
65;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA ADMINISTRAÇÃO;CPS-SA-002;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;403AZPUDR760
66;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA PODCAST;CPS-SP-003;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48000 BTUS QUENTE/FRIO ATNW48GMLP1.ANWZBRZ;301AZWS2S961
67;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-004;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;402AZAL7S728
68;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-005;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;402AZGF10679
69;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-006;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;401AZUJD0822
70;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TREINAMENTO;CPS-ST-007;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;402AZLW10680
71;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA PESSOAL CALLCENTER;CPS-SP-004;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT HI-WALL INVERTER DAIKIN 18000 BTUS FRIO ADVANCE 220V FTK18P5VL | RK18P5VL;R513274
72;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;SALA TI/CPD/CFTV;CPS-ST-005;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL LG DUAL INVERTER  12000 BTUS FRIO S4NQ12JA3A5.EB2GAMZ;209AZERFY100
73;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;ANFITEATRO E DANÇA;CPS-AD-006;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;112AZBZ1J797
74;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO SUPERIOR;ANFITEATRO E DANÇA;CPS-AD-007;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;112AZUJ1J814
75;SUL;AG SUL;SALA TI/CPD/CFTV;AST-TI-001;AVENIDA ANDRÔMEDA, 693, SALA 61/63, JD. SATÉLITE (ESPAÇO ANDRÔMEDA), SÃO JOSÉ DOS CAMPOS - SP CEP 12230-000;54.190.525/0002-47;AR CONDICIONADO SPLIT CASSETE LG INVERTER 18000 BTUS QUENTE E FRIO  ATNW18GPLP0.ANWZBRZ ;812AZMG00163
76;SUL;AG SUL;ATENDIMENTO;AST-AT-002;AVENIDA ANDRÔMEDA, 693, SALA 61/63, JD. SATÉLITE (ESPAÇO ANDRÔMEDA), SÃO JOSÉ DOS CAMPOS - SP CEP 12230-000;54.190.525/0002-47;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48.000 BTUS QUENTE E FRIO ATNW48GMLP0.ANWZBRZ;905AZSP47894
77;SUL;PA SUL;ATENDIMENTO;AST-AT-003;AVENIDA ANDRÔMEDA, 693, SALA 44/52, JD. SATÉLITE (ESPAÇO ANDRÔMEDA), SÃO JOSÉ DOS CAMPOS - SP CEP 12230-000;54.190.525/0002-47;AR CONDICIONADO SPLIT HI WALL SPRINGER MIDEA 18000 BTUS FRIO 42MBCA18M5;2718B135544070
78;SUL;PA SUL;ATENDIMENTO;AST-AT-004;AVENIDA ANDRÔMEDA, 693, SALA44/52, JD. SATÉLITE (ESPAÇO ANDRÔMEDA), SÃO JOSÉ DOS CAMPOS - SP CEP 12230-001;54.190.525/0002-47;AR CONDICIONADO SPLIT HI WALL SPRINGER MIDEA 24000 BTUS FRIO 42MBCA24M5;2818B13571780
79;jAMBEIRO;AG JAMBEIRO;ATENDIMENTO;AJA-AT-001;RUA MAJOR GURGEL, 165, CENTRO, JAMBEIRO - SP CEP 12270-000;54.190.525/0007-51;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;307AZRD8954
80;jAMBEIRO;AG JAMBEIRO;ATENDIMENTO;AJA-AT-002;RUA MAJOR GURGEL, 165, CENTRO, JAMBEIRO - SP CEP 12270-000;54.190.525/0007-51;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;307AZCQ8V307
81;jAMBEIRO;AG JAMBEIRO;ATENDIMENTO;AJA-AT-003;RUA MAJOR GURGEL, 165, CENTRO, JAMBEIRO - SP CEP 12270-000;54.190.525/0007-51;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  ATNW36GNLP1.ANWZBR1;307AZAL8V344
82;jAMBEIRO;AG JAMBEIRO;COPA;AJA-CO-004;RUA MAJOR GURGEL, 165, CENTRO, JAMBEIRO - SP CEP 12270-000;54.190.525/0007-51;AR CONDICIONADO SPLIT CASSETE LG INVERTER 18000 BTUS QUENTE E FRIO  ATNW18GPLP0.ANWZBRZ ;203AZWS00913
83;jAMBEIRO;AG JAMBEIRO;SALA TI/CFTV/NOBREAK;AJA-TI-005;RUA MAJOR GURGEL, 165, CENTRO, JAMBEIRO - SP CEP 12270-000;54.190.525/0007-51;AR CONDICIONADO SPLIT CASSETE LG INVERTER 18000 BTUS QUENTE E FRIO  ATNW18GPLP0.ANWZBRZ ;203AZKA00909
84;PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-001;ENDEREÇO: RUA MAJOR SANTANA, 107, CEDRAP, VILA MODESTO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;107AZZX7N709
85;PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-002;ENDEREÇO: RUA MAJOR SANTANA, 107, CEDRAP, VILA MODESTO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;107AZCQ7N707
86;PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-003;ENDEREÇO: RUA MAJOR SANTANA, 107, CEDRAP, VILA MODESTO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;107AZTH2X889
87;PARAIBUNA;AG PARAIBUNA CEDRAP;ATENDIMENTO;APA-AT-004;ENDEREÇO: RUA MAJOR SANTANA, 107, CEDRAP, VILA MODESTO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;107AZFM7N627
88;PARAIBUNA;AG PARAIBUNA CEDRAP;ATM;APA-CX-005;ENDEREÇO: RUA MAJOR SANTANA, 107, CEDRAP, VILA MODESTO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;008AZLWA2592
89;PARAIBUNA;AG PARAIBUNA CEDRAP;SALA TI/CFTV/NOBREAK;APA-TI-006;ENDEREÇO: RUA MAJOR SANTANA, 107, CEDRAP, VILA MODESTO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;008AZPUA2656
90;PARAIBUNA;PA PARAIBUNA CENTRO;ATENDIMENTO;APA-AT-007;RUA CEL. CAMARGO, 161, CALÇADÃO, CENTRO, PARAIBUNA - SP CEP 12260-000;54.190.525/0003-28;AR CONDICIONADO SPLIT HI WALL LG DUAL INVERTER 9.000 BTUS S3NQ09AA31A.EB2GAM1;402AZHYY2E713
91;CAÇAPAVA;PA CAÇAPAVA;ATENDIMENTO;ACP-AT-001;RUA 7 DE SETEMBRO, 127, SALA 5, CENTRO, CAÇAPAVA - SP CEP 12281-620;54.190.525/0006-70;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 18000 BTUS QUENTE FRIO S4NW18KL31B.EB2GAMZ;201AZHYAV937
92;CAMPOS DO JORDÃO;PA CAMPOS DE JORDÃO;ATENDIMENTO;ACJ-AT-001;AVENIDA FREI ORESTES GIRARDI, 893, LOJA 06, VILA ABERNÉSSIA (DENTRO DO ESPAÇO VIA CANDOTTI), CAMPOS DO JORDÃO - SP CEP 12467-012;54.190.525/0004-09;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 24000 BTUS QUENTE FRIO S3NW24K231A.EB2GAM1; 408AZFM7E531
93;CARAGUÁ;PA CARAGUÁ;ATENDIMENTO;ACG-AT-001;AV. MIGUEL VARLEZ, 227 - JARDIM PRIMAVERA, PISO SUPERIOR, SALA 1, CARAGUATATUBA - SP CEP 11660-650;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;202AZKA5Q405
94;CRUZEIRO;PA CRUZEIRO ;ATENDIMENTO;ACR-AT-001;RUA CORONEL JOSÉ DE CASTRO, 540, CENTRO, CRUZEIRO - SP CEP 12701-450;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL DAIKIN INVERTER 24000 BTUS FRIO FTK24P5VL / RK24P5VL ;R008977
95;EUGENIO DE MELO;PA EUGENIO DE MELO;ATENDIMENTO;AEM-AT-001;RUA QUINZE DE NOVEMBRO, 259 - EUGÊNIO DE MELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12247-210;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 9.000 BTUS FRIO  S3NQ09AA31A.EB2GAM1;402AZZX2E717
96;ILHABELA;PA ILHA BELA;ATENDIMENTO;AIB-AT-001;RUA QUINZE DE NOVEMBRO, 259 - EUGÊNIO DE MELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12247-210;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG FRIO 18.000 BTUS USNQ182CSG3.ANWGLAZ;801AZJT49380
97;JACAREÍ;PA JACAREÍ;ATENDIMENTO ESPERA;AJC-AT-001;RUA LAMARTINE DELAMARE, 160, SALA 02 E 03, CENTRO, JACAREÍ - SP CEP 12327-010;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG QUENTE E FRIO 18.000 BTUS S4NQ18KL3WB.EB2GAMZ;907AZNK4F463
98;JACAREÍ;PA JACAREÍ;ATENDIMENTO;AJC-AT-002;RUA LAMARTINE DELAMARE, 160, SALA 02 E 03, CENTRO, JACAREÍ - SP CEP 12327-010;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG QUENTE E FRIO 18.000 BTUS S4NQ18KL3WB.EB2GAMZ; 907AZWS38489
99;ORIENTE;PA ORIENTE;ATENDIMENTO;AJM-AT-001;RUA ANDORRA, 500, SALA 228, JARDIM AMÉRICA, SÃO JOSÉ DOS CAMPOS – SP CEP 12235-050;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36.000 BTUS QUENTE E FRIO ATNW36GNLP1.ANWZBRZ;305AZDB5W346
100;SÃO SEBASTIÃO;PA SÃO SEBASTIÃO;ATENDIMENTO;ASB-AT-001;RUA SEBASTIÃO SILVESTRE NEVES, 279, SALA 28, CENTRO, SÃO SEBASTIÃO - SP CEP 11608-614;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL SPRINGER MIDEA 18000 BTUS FRIO 42MBCA18M5 ;2718B135544070
101;SÃO SEBASTIÃO;PA SÃO SEBASTIÃO;ATENDIMENTO;ASB-AT-002;RUA SEBASTIÃO SILVESTRE NEVES, 279, SALA 28, CENTRO, SÃO SEBASTIÃO - SP CEP 11608-614;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;903AQZSP5W206
102;SFX;PA SFX;ATENDIMENTO;ASF-AT-001;RUA 15 DE NOVEMBRO, 900, SALA 2, CENTRO DE SFX, SÃO JOSÉ DOS CAMPOS - SP CEP 11608-614;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 12000 BTUS FRIO S3NW12JA31A.EB2GAM1;406AZUJEK406
103;SFX;PA SFX;ATENDIMENTO SEBRAE;ASF-AT-002;RUA 15 DE NOVEMBRO, 900, SALA 2, CENTRO DE SFX, SÃO JOSÉ DOS CAMPOS - SP CEP 11608-614;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 12000 BTUS FRIO S3NW12JA31A.EB2GAM1;406AZFMEK315
104;TAUBATÉ;PA TAUBATÉ;ATENDIMENTO;ATB-AT-001;RUA CEL. MARCONDES DE MATTOS, 25, LOJA 05, CENTRO, TAUBATÉ - SP CEP 12010-100;54.190.525/0001-66;AR CONDICIONADO SPLIT HIGHWALL INVERTER LG 24000 BTUS FRIO S4NQ24K23WD.EB2GAMZ; 906AZQV1V436
105;UBATUBA;PA UBATUBA;ATENDIMENTO;AUB-AT-001; AVENIDA DONA MARIA ALVES, 865, PAÇO MUNICIPAL (SALA AO LADO DO GABINETE), CENTRO, UBATUBA - SP CEP 11690-156;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL ELGIN 18000 BTUS FRIO HEFI18B2FB; -
